               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10112,            0.050933,            0.046509,             0.57132,             0.20257,             0.25225,            0.091943,            0.083087,            0.059789,            0.027395,            0.070395,           0.0032895,           0.0032895
                   1,            0.075769,            0.044161,            0.026869,             0.34754,             0.49409,             0.35884,             0.14774,            0.073834,            0.051875,            0.017807,            0.040067,            0.006295,            0.006295
                   2,            0.071687,            0.039265,            0.021011,             0.39159,              0.5349,             0.42233,             0.20424,            0.076064,            0.050136,            0.015006,           0.0094091,           0.0089705,           0.0089705
                   3,            0.065945,            0.038921,            0.018284,             0.56094,             0.55991,             0.52683,             0.22098,            0.060284,            0.051547,            0.013518,            0.008515,            0.008515,            0.008515
                   4,            0.060347,            0.037902,            0.016145,              0.5957,              0.6049,             0.60912,             0.33081,            0.057136,            0.052282,            0.012712,            0.008515,            0.008515,            0.008515
                   5,            0.056905,            0.037623,            0.014736,             0.61038,             0.69068,             0.63364,             0.36973,            0.055203,            0.050869,            0.011854,             0.00802,             0.00802,             0.00802
                   6,            0.054401,            0.038393,            0.013638,             0.71813,             0.72445,              0.7362,             0.43964,             0.05149,            0.050681,            0.011943,            0.007525,            0.007525,            0.007525
                   7,            0.052659,            0.037636,            0.013057,             0.73017,             0.72724,             0.77151,             0.48201,            0.049177,             0.04966,            0.010809,             0.00703,             0.00703,             0.00703
                   8,            0.050593,            0.037328,            0.012538,              0.8094,             0.71685,             0.78484,              0.5002,             0.04849,            0.048523,            0.010749,            0.006535,            0.006535,            0.006535
                   9,            0.049507,            0.034606,            0.012008,             0.78513,             0.74515,             0.79643,             0.49303,             0.04908,            0.048399,              0.0101,             0.00604,             0.00604,             0.00604
                  10,            0.048744,            0.035356,            0.011575,               0.836,             0.73147,             0.81026,             0.50761,            0.045579,            0.047562,           0.0096731,            0.005545,            0.005545,            0.005545
                  11,            0.047595,            0.036248,            0.011216,             0.83937,             0.75081,              0.8202,             0.55555,            0.044053,            0.047067,           0.0096272,             0.00505,             0.00505,             0.00505
                  12,            0.046153,            0.035435,            0.010977,             0.84291,             0.74215,             0.82637,             0.56442,            0.044007,            0.046469,           0.0089927,            0.004555,            0.004555,            0.004555
                  13,            0.045288,            0.034503,            0.010305,             0.83747,             0.78021,             0.83882,             0.57549,            0.042806,            0.045812,           0.0086585,             0.00406,             0.00406,             0.00406
                  14,            0.044003,            0.034147,            0.010043,             0.83664,             0.77347,             0.83851,             0.58362,            0.042128,            0.045157,           0.0082602,            0.003565,            0.003565,            0.003565
                  15,             0.04379,            0.034296,           0.0098494,             0.86759,             0.77623,             0.84369,             0.60118,            0.041463,            0.044701,           0.0078658,             0.00307,             0.00307,             0.00307
                  16,            0.042631,            0.033028,           0.0094249,             0.89712,             0.76772,             0.85053,              0.6052,            0.040864,            0.043817,           0.0075716,            0.002575,            0.002575,            0.002575
                  17,             0.04208,            0.032871,           0.0090026,             0.88323,             0.78059,             0.85908,             0.61499,            0.040048,             0.04364,           0.0073472,             0.00208,             0.00208,             0.00208
                  18,            0.042247,            0.034976,           0.0088824,             0.87238,             0.78946,             0.85942,             0.62071,            0.039628,            0.042808,           0.0070535,            0.001585,            0.001585,            0.001585
                  19,            0.040736,            0.032136,           0.0086179,              0.8635,             0.80575,             0.86609,             0.63412,            0.038965,            0.042545,           0.0068837,             0.00109,             0.00109,             0.00109
